questions,answers
what is the curriculum/syllabus for MY 2nd year,"Differential Equation and Complex Variables, Furnaces and Refractories, Physical Metallurgy, Mineral Processing, Islamic Studies OR Ethical Behaviour, Chinese Language, Iron Making Processes Instrumentation, Computer Programming and Drafting, Mechanical Behaviour of Materials, Metal Forming and Shaping Processes, Metallugical Thermodynamics and Kinetics"
what is the curriculum/syllabus for MY 3rd year,"Inspection and Testing of Materials, Polymers and Composite Materials, Mathematical Methods, Steel Making Processes, Foundry: Principles, Methods and Practice, Metallurgy of Welding, Non-Ferrous Extractive Metallurgy, Business Communication and Ethics, Heat Treatment of Materials, Applied Economics for Engineers"
what is the curriculum/syllabus for MY last year,"Corrosion Engineering, Vacuum Metallurgy, Metallurgy of Advanced Steels, Fracture Mechanics and Failure analysis Health, Safety and Environment, Entrepreneurship Metallurgical Engg. Project, Metallurgical Plants and Quality Control, Powder Metallurgy, Ind. Org & Management Design, Selection and Characterization of Engg. Materials, Advanced Materials Metallurgical Engg. Project"
what is the curriculum/syllabus for MG 1st year,"Functional English, Fundamentals of IT, Business Mathematics, Fundamentals of Management Principles of Marketing, Pakistan Studies OR Pakistan Studies (for Foreigners), Introduction of Financial Accounting, Principles of Economics, Introduction to Sociology, Introduction to Business Organization, Islamic Studies OR Ethical Behaviour(for Non-Muslims), Chinese Language"
what is the curriculum/syllabus for MG 2nd year,"Oral Communication, Strategic Management Technology, Management Introduction to Business Finance, Micro Economics, Programming Languages, Chinese Language, Applied Statistics, Human Resource, Management Business, Law & Policy, Managerial Accounting, Macro Economics"
what is the curriculum/syllabus for MG 3rd year,"Business & Organizational Communication, Product & Brand Management, Business Research Methods, Business Ethics & Corporate, Social Responsibility Management, Information System Production Management,  Financial Risk Management Operations, Research & Management, Business & Economic Forecasting, Entrepreneurship, Consumer Behaviour & Marketing Management"
what is the curriculum/syllabus for MG last year,"Electives – 1, Electives -2, Electives -3, Electives -4, Electives -5, Final Year Project, Electives -6, Electives -7, E-Commerce, Business Process Management, Final Year Project"
what is the curriculum/syllabus for TS 1st year,"Textile Chemistry, Engineering Mechanics, Functional English, Introduction to Textiles, Textile Raw Materials – I, Computer Programming & Drafting, Calculus, Pakistan Studies OR Pakistan Studies (for Foreigners), Applied Physics, Textile Raw Materials –II, Chinese Language"
what is the curriculum/syllabus for TS 2nd year,"Islamic Studies OR Ethical behavior (for Non-Muslims), Colour Science, Pre-Spinning Processes, High Performance Fibres, Linear Algebra & Ordinary Differential Equations, Elements of Machine Design & Dynamics, Chinese Language, Applied Economics for Engineers, Yarn Production Processes, Weaving Preparatory Processes, Textile Testing-I, Pre-Treatment in Textiles"
what is the curriculum/syllabus for TS 3rd year,"Advanced Yarn production Processes, Textile Dyeing, Weaving Mechanisms, Quality Control in Textiles, Business Communication & Ethics, Textile Testing – II, Utilities for Textile Industry, Textile Printing, Knitting Technology, Organizational Behavior"
what is the curriculum/syllabus for TS last year,"Advanced Fabric Manufacturing Technique, Garment Manufacturing, Textile & Environment Textile Finishing Project, Textile Production, Management Entrepreneurship, Textile Merchandising, Technical Textiles Project"
what is the curriculum/syllabus for DS 1st year,"Introduction to Development Studies, Communication Skills for Development-I, Introduction to Accounting, Functional English, Principles of Economics-I, Introduction to Sociology, Computer Applications in Development-I, Communication Skills for Development-II, Principles of Economics-II, Pakistan Studies OR Pakistan Studies (for Foreigners), Chinese Language"
what is the curriculum/syllabus for DS 2nd year,"Field Survey Methods-I, Theory and Practice of Development, Work Human Development, Computer Applications in Development-II, Development Economics, Statistical Applications in Development-I, Chinese Language, Statistical Applications in Development-II, Participatory Development, Theory and Management of Organisations-I, Islamic Studies OR Ethical Behaviour(for Non Muslims), Field Survey Methods-II"
what is the curriculum/syllabus for DS 3rd year,"Development Planning Workshop-I, Legal Issues in Development, Urban Development, Management of Organisation-II, Linear Programming Elective, Gender and Development, Public Administration, Agricultural Development, Development Planning Workshop-II, Introduction to Linear Algebra and Programme, Political Economy"
what is the curriculum/syllabus for DS last year,"Development Studies Project, Development Planning Workshop-III, Entrepreneurship Microfinance-I, Environmental Issues in Development, Elective Courses, Development Studies, Project Sustainability in Development, Microfinance-II, Development Planning in Pakistan"
"What is the criteria of getting scholarship in NED, and how can we get scholarship?",Scholarships are awarded on a “need-cum-merit” basis. The scholarship application process is administrated by the NED Controller of Student Affairs. You can also apply online at nedscholars.org/apply. Selection is done through an interview process by NED Controller of Student Affairs and MECH 80-81 alumni representatives. The number of scholarships varies every year based on the number of applicants and availability of funds. Each scholarship will pay NED tuition fees and a monthly stipend.
"If I apply for both self finance and merit, and make it possible to get admission on merit basis, then what is the procedure of refunding self finance fees?",You Need To Fill APPLICATION FORM FOR REFUND OF SELF FINANCE FEE. You Can Get This Form From NED’s Main Website
Number of seats available in each department,"Candidates would be required to appear before the Interview Committee on specific date and time, as annexed, to choose the discipline from the available seats in their respective category. The selection of discipline / programme is based on a computerized interactive process. The choice of available seats would decrease as one goes down in the order of merit and each candidate will have to make “on-the-spot” choice from the seats available. Therefore, they should come prepared to choose the discipline so as to make quick decision."
Doe NED transport covers all areas of Karachi ?,"Yes, most of the areas are covered."
What is the procedure for applying scholarship by EHSAAS Program,"Higher Education Commission (HEC) offers scholarship titled as “Ehsaas Undergraduate Scholarship Programme” to the deserving students of NED University covering tuition fee + stipend amount. Interested students from First Year of Engg/BS/Arch may apply online at http://ehsaas.hec.org.pk and submit the print out of Ehsaas Scholarship Application Form along-with relevant documents in a proper file mentioning the student’s Name, Class, Discipline, Roll No. Batch and Contact / Cell Number in the title file in person at Student Affairs Department, NED University. The interested students should visit the Website http://ehsaas.hec.org.pk for obtaining the required information to fill-up the application Form."
what is the elaboration/complete form of TCT,Computer Science at TIEST
What is the number of seats for each call list. How many seats are there for Karachi board call list?,There are approximately 6 to 7 call lists for Karachi board. Each call list have 70 plus available seats.
what is the requirement regarding A/O level equivalency and original marksheets ,Candidates having passed Cambridge Higher School Certificate or General Certificate of Education (‘A’ Level) Examination or equivalent examination must submit relevant document to establish their date of birth.
"Some information regarding NED departments. What is the difference between CIS, SE, and BCIT?","There are 25 plus departments in NED University. You can find details about each department on respective departmental site. Software engineering is a field largely concerned with the application of engineering processes to the creation, maintenance, and design of software for a variety of different purposes. Computer science takes a broad approach to the study of the principles and use of computers that covers both theory and application. This field involves the understanding and application of both abstract and concrete knowledge. The study of Computer Information Systems (CIS) focuses on the practical applications of computer technology through the study of a broad range of subjects. Professionals in this field may have knowledge and expertise in topics such as software design, communications or business. They are the experts to turn to when it comes to applying technology to business applications."
What are the top most fields?,"It is highly recommended to opt field according to your interest. However fields that are most selected are civil engineering, electrical engineering, textile engineering, software engineering, computer and information systems engineering and mechanical engineering."
Information regarding admission procedure.,"First you need to register yourself for Pre-Admission Entry Test in Admission Web Portal at NED University Website. After filling form Transaction Slip will be generated, mentioning Transaction ID along with your information and the fees to be submitted in the designated commercial banks using this transaction slip. Admit card will be available at the admission portal after confirmation of the fee submission by the bank (within 3 to 5 working days). Don’t forget to bring the print out of your Pre-Admission Entry Test Admit Card at the day of Entry Test (mentioned in the schedule on admission website). Merit lists of different categories will be displayed on NED Website (www.neduet.edu.pk/admission) as per Admission Schedule. If your name appears in the Merit Lists, Print the filled Application Form from the Admission Web Portal. Signed Admission form, along with all documents mentioned in Document Checklist, are to be submitted at the time of interview as mentioned in the Admission Schedule on Admission Website. Candidate will be called for Pre-Admission Interview as per Admission Schedule. For any further queries, please read the Frequently Asked Questions (faqs) available on NEDUET website."
What is the formula for calculating aggregate?,"Aggregate marks are calculated by the sum of 10% SSC/Equivalent, 40% HSSC/Equivalent, and 50% Admission Test. Then divide aggregate marks by 1100 and then multiply with 100 to obtain aggregate percentage."
What documents are required?,"Attested photocopies of Admit Card of NED UET Pre-Admission Entry Test, S.S.C or Equivalent Certificate, S.S.C or Equivalent Marks Certificate, CNIC / B. FORM. Original to be retained by NED UET are HSC or Equivalent Mark Certificate, IBCC Equivalent Certificate (For Foreign Board), Domicile, Affidavit of non-political activities, Photographs (06 Nos.) – see Photograph guideline for details, Admission Form (Please take the print out of these annexures from Admission Portal, fill it completely and signed). Migration Certificate (Other than Karachi Board) if applicable. "
From when admissions will start?,Admission process for session 2022-2023 will start from March. For complete admission schedule please visit NED’s main website.
From where I can get the study material for preparation?,You can use any online platform to prepare for NED’s pre admission test. Use YouTube and google for preparations. Also o can get past papers online for preparation.   
From where I can get the previous closing list?,Please check the pdf CLOSING ADMISSIONS 2018 (2018-19) on NED’s Website.
Starting date for First Year's mid-term.,"According to FALL SEMESTER (2021), first year’s midterm were held in January 2022."
Doe mid terms marks matters in overall gpa? How can we calculate semesters gpa?,"Your CGPA is calculated by dividing the sum of the grade points earned by the total credit value of courses you have attempted. For 2 semesters, you can take the average of gpa’s for each semester. Marks scored in midterms are added in term sessionals which holds a major weightage in your semester’s gpa."
How to apply for COD? When to apply for COD?,"You have to apply for COD (Change of Department or as some call it Change of Technology, COT) in the 1st year. Since there are many candidates in the university who apply for the COD, so there is a competition for it. They make a merit list which is based on the GPA of your 1st year and the availability of seats in the department you want to move to. So, higher the GPA, higher the chances. The seat availability is totally based on luck."
NED'S entrance test difficulty level?,"It’s neither easy nor hard. If you want to get yourself admitted into a particular department, you must score good numbers in your Intermediate. The admission policy at NED University is an open merit scheme. Students with the higher numbers can choose any department, therefore as the number of students pick their seats, the departmental quotas started finishing and that is how the eligibility criteria is determined."
NED admission criteria for this year?,"Admissions will however, be offered subject to following Conditions: Only those Candidates who had qualified Pre-Admission Entry Test of this University by securing 50% or more Marks (or defined Scores in SAT-I and SAT-II) will be considered for Admission. The Merit List will be based upon the 30% weightage of SSC/Equivalent Examination Marks and 70% weightage of the Scores Secured in Pre-Admission Entry Test (or SAT-I and SAT-II). For more details please visit NED’s main website."
"Will there be two tests for admission, this year ?","Pre Admission Entry test will be held two time during the year 2021, each candidate may appear in both attempts."
How one can score good in NED's admission test?,"Start Preparing Early, Understand the Concepts, Focus More on Science Subjects ,Practice from Sample Papers, Keep Yourself Motivated"
what documents need to be attested?,"Attested Photocopies of Admit Card of NED UET Pre-Admission Entry Test, S.S.C or Equivalent Certificate, S.S.C or Equivalent Marks Certificate and CNIC / B. FORM. Original documents that are to be retained by NED UET are HSC or Equivalent Mark Certificate, IBCC Equivalent Certificate (For Foreign Board), Domicile, Affidavit of non-political activities, Photographs (06) see Photograph guideline for details, Admission Form (Please take the print out of these annexures from Admission Portal, fill it completely and signed). If applicable Migration Certificate (Other than Karachi Board)."
Can we apply in more than one categories?,"Yes, you can apply for more than one categories."
When students will be assigned with their student portal?,You’ll get your portal right after your admission.
Where I can find time table of classes on website?,You can get your class timetable on departmental website. Also your class advisor will share.
Does having high percentage in FSC is necessary for getting scholarship?,Not necessary
Does NED have any sports club?,"Sports Section was established at NED University in 1978 that is functioning under the control of Students’ Affairs Department. The Sports Section also organizes NED Interdepartmental Games and Inter Faculty Games every year for the Student of NED University, while, NED University teams participate in Intervarsity Championships that are scheduled under auspices of Higher Education Commission, Islamabad i.e. (Badminton, Basketball, Cricket, Table Tennis, Football, Volleyball, Squash & etc.)."
In what program students from pre-medical can apply?,"Pre meds can apply for Bio-Medical, management sciences, development studies and English linguistics. "
Number of seats available for pre-medical students,There are total 17 seats for HSC pre-medical from Karachi Board and 7 seats for A-levels pre-medical.
pProcedure for getting admission in NED,"Admissions will however, be offered subject to following Conditions: Only those Candidates who had qualified Pre-Admission Entry Test of this University by securing 50% or more Marks (or defined Scores in SAT-I and SAT-II) will be considered for Admission. The Merit List will be based upon the 30% weightage of SSC/Equivalent Examination Marks and 70% weightage of the Scores Secured in Pre-Admission Entry Test (or SAT-I and SAT-II). For more details please visit NED’s main website."
What is the admission procedure after entry test?,"First you need to register yourself for Pre-Admission Entry Test in Admission Web Portal at NED University Website. After filling form Transaction Slip will be generated, mentioning Transaction ID along with your information and the fees to be submitted in the designated commercial banks using this transaction slip. Admit card will be available at the admission portal after confirmation of the fee submission by the bank (within 3 to 5 working days). Don’t forget to bring the print out of your Pre-Admission Entry Test Admit Card at the day of Entry Test (mentioned in the schedule on admission website). Merit lists of different categories will be displayed on NED Website (www.neduet.edu.pk/admission) as per Admission Schedule. If your name appears in the Merit Lists, Print the filled Application Form from the Admission Web Portal. Signed Admission form, along with all documents mentioned in Document Checklist, are to be submitted at the time of interview as mentioned in the Admission Schedule on Admission Website. Candidate will be called for Pre-Admission Interview as per Admission Schedule. For any further queries, please read the Frequently Asked Questions (faqs) available on NEDUET website."
How one can score maximum in entrance test?,"Start Preparing Early, Understand the Concepts, Focus More on Science Subjects ,Practice from Sample Papers, Keep Yourself Motivated"
"For computer science which is the best, KU or PAF KIET?",Both universities are good. You can compare course outlines of CS programs for both universities. For more details please visit their websites.
What is the procedure for refunding self finance fees?,"Yes, when you opt for Regular Seat, total self-finance fee will be refunded. Refund of self-finance amount would be against submission of refund form with all relevant documents. You need to submit an application for refund fee. For further details visit NED University website at www.neduet.edu.pk/admission."
How students can find their classes on first day?,Your course instructor or advisor will guide you. 
How students can find their labs on first day?,Your course instructor or advisor will guide you. 
Can student select department other than those that he have choosen on admission form?,
NED point stops ,"Jama Cloth – Radio Pakistan – 7Day Hospital – Numaish – Gurumandir – Nazimabad Road (No.3) – New Town – Askari Park – Mumtaz Manzil – Korangi (No.5) – Korangi (No.4) – Korangi (No.31/2) – Korangi (No.21/2) – Korangi (No.2) – Korangi (No.1, Near Chakra Goth) – Nasir Jump – Korangi Crossing – Qayyumabad Chowrangi – Akhtar Colony – Kala Pull – FTC Building – Nursery – Baloch Colony – Karsaz – Paposh – Nazimabad (No.7) – Board Office – Namak Bank – Sohrab Goth – Nipa – Millennium Mall – Stadium – Karsaz – Mehmoodabad No.6 – Iqra University – Qayyumabad – Korangi Crossing – Nasir Jump – Korangi No.21/2 – Korangi No.5 , 4K Chowrangi – 2 Minute Chowrangi – 5C,4 (Bara Market) – Saleem Centre – U.P Mor – Nagan Chowrangi – Gulshan Chowrangi , Shama Shopping Centre – Shah Faisal Police Station – Bagh,e,Korangi – Singer Chowrangi – Khaddi Stop – Korangi No.5 – Korangi No.6 – Landhi No.6 – Landhi No.5 – Landhi No.4 – Landhi No.3 – Landhi No.1 – Landhi No.89 – Dawood Chowrangi – Malir No.15 – Malir Hault – Star Gate – Natha Khan – Drig Road – Islam Chowk – Orangi (No.5) – Metro Cinema – Abdullah College – Ship Owner College – Qalandarya Chowk – Buffer Zone – Fazal Mill – KESC Office – Defence Mor – Akhtar Colony – Express Way – Iqra University – Baloch Colony Bridge – Nursery –Shahed,e,Millat Road – Agha Khan Hospital – Daalmian – Millennium Mall – Laal Flat , Hassan Squire – New Town Police Station – Society Office – Noorani Kabab – Nursery – Tipu Sultan (U,Turn) – Gora Kabrustan – Kala Pull – Defence Mor – Punjab Chowrangi , Safari Park – Moti Mehel – 16 No. Chowrangi – Water Pump – Gulberg Chowrangi – Peoples Chowrangi – Sakhi Hassan Chowrangi – 2K,Stop – Board Office – Liaquatabad (No.10) – Baloch Hotel – Hassan Squire – Khalid Bin Waleed Road – Noorani Kabab – Numaish Chowrangi – Awari Tower – Nursary – Society Office – Kashmir Road – Hassan Squire – Hydri Stop– Five Star Chowrangi – Crown Bakery – Landi Kotal – Dental College – Peoples Chowrangi – D.C Office – Gulberg Chowrangi – Water Pump – 16,No.Chowrangi – Fazal Mill – Tank Chowk – Model Mor – RCD Ground – Saodabad – Kala Board – Malir ( No.15) – Malir Halt – Check Post (No. 06) – Safurah – E,Complex – Steel Town Gate – National Highway – Qaidabad – Murghi Khana – Model Colony – Cantt Gate (No.6) – Safoora Chowrangi – Ajmer Nagri – Bara Dari – Disco Mor – Muhammad Shah Kabrustan – Anda Mor – Qalandarya Chowk – Ship Owner – Five Star – Landi Kotal – Tahir Villa – Buffer Zone – Nagan Chowrangi – Shadman (No.2) – Shadman (No.1) – Five Star Chowrangi – K.D.A Chowrangi – Nazimabad (No.6) – Golimar Chowrangi – Dak Khana – Hassan Square – Bakra Peri – Memon Goth – Khokhrapar – Saodabad – Jinnah Squire – Nad,e,Ali – Malir (No. 15) – Kala Board – Malir Halt – Wireless Gate – Natha Khan – Drig Road , Drig Road – Natha Khan – Wireless Gate – Malir Halt – Kala Board – Malir (No. 15) – Nad,e,Ali – Jinnah Squire – Saodabad – Khokhrapar – Memon Goth – Bakra Peri , Lea Market – Lawrence Road – Garden – Jail Road – Hassan Squire – Urdu University , Hassan Squire – Jail Road – Teen Hatti – Lasbela – Lawrence Road – Civil Hospital , Shersha – Ghani Chowrangi – Habib Bank (Bridge Crossing) – Nazimabad (No.4)– Ayesha Manzil – Mukka Chowk – 13,D – Maskan Chowrangi"
what we study in CIS or Computer system engineering,"CIS students learn about technology (databases, security, programming, networking) as well as business (management principles, finance and accounting, business laws, economics). Invariably, most CIS programs (bachelor's or master's) also include a capstone project or internship to gain real-life experiences."
what we study in ME or mechanical engineering,"Studying mechanical engineering is a combination of science, maths, and computing. It's the study of machinery, and how to manufacture and maintain it at all levels."
what we study in EL or electrical engineering,"Electrical engineering is an engineering discipline concerned with the study, design, and application of equipment, devices, and systems which use electricity, electronics, and electromagnetism."
Number of merit seats available in civil engineering ,Seats are distributed on the basis of categories. There are total 142 merit seats for CE. Please check prospectus for further division of categories.
Number of merit seats available in civil engineering construction,Seats are distributed on the basis of categories. There are total 31 merit seats for CE (CN). Please check prospectus for further division of categories.
Number of merit seats available in urban engineering,Seats are distributed on the basis of categories. There are total 60 merit seats for UE. Please check prospectus for further division of categories.
Number of merit seats available in petroleum engineering ,Seats are distributed on the basis of categories. There are total 37 merit seats for PE. Please check prospectus for further division of categories.
Number of merit seats available in textile engineering ,Seats are distributed on the basis of categories. There are total 60 merit seats for TE. Please check prospectus for further division of categories.
Number of merit seats available in industrial and manufacturing engineering ,Seats are distributed on the basis of categories. There are total 91 merit seats for IM. Please check prospectus for further division of categories.
Number of merit seats available in automotive engineering ,Seats are distributed on the basis of categories. There are total 36 merit seats for AU. Please check prospectus for further division of categories.
Number of merit seats available in telecommunications engineering ,Seats are distributed on the basis of categories. There are total 68 merit seats for TC. Please check prospectus for further division of categories.
Number of merit seats available in chemical engineering ,Seats are distributed on the basis of categories. There are total 59 merit seats for CH. Please check prospectus for further division of categories.
Number of merit seats available in materials engineering ,Seats are distributed on the basis of categories. There are total 47 merit seats for MM. Please check prospectus for further division of categories.
Number of merit seats available in polymer and petrochemical engineering ,Seats are distributed on the basis of categories. There are total 45 merit seats for PP. Please check prospectus for further division of categories.
Number of merit seats available in metullurgical engineering ,Seats are distributed on the basis of categories. There are total 45 merit seats for MY. Please check prospectus for further division of categories.
Number of merit seats available in computer science,Seats are distributed on the basis of categories. There are total 46 merit seats for CT. Please check prospectus for further division of categories.
Number of merit seats available in architecture,Seats are distributed on the basis of categories. There are total 37 merit seats for AR. Please check prospectus for further division of categories.
Number of merit seats available in bio-medical engineering ,Seats are distributed on the basis of categories. There are total 60 merit seats for BM. Please check prospectus for further division of categories.
Number of merit seats available in food engineering ,Seats are distributed on the basis of categories. There are total 33 merit seats for FD. Please check prospectus for further division of categories.
Number of merit seats available in management sciences,Seats are distributed on the basis of categories. There are total 69 merit seats for MG. Please check prospectus for further division of categories.
Number of merit seats available in textile sciences,Seats are distributed on the basis of categories. There are total 71 merit seats for TS. Please check prospectus for further division of categories.
Number of merit seats available in development studies,Seats are distributed on the basis of categories. There are total 24 merit seats for DS. Please check prospectus for further division of categories.
Number of merit seats available in industrial chemistry,Seats are distributed on the basis of categories. There are total 70 merit seats for IC. Please check prospectus for further division of categories.
Number of merit seats available in applied physics,Seats are distributed on the basis of categories. There are total 70 merit seats for AP. Please check prospectus for further division of categories.
Number of merit seats available in english linguistics,Seats are distributed on the basis of categories. There are total 25 merit seats for EG. Please check prospectus for further division of categories.
Number of merit seats available in economics and finance,Seats are distributed on the basis of categories. There are total 80 merit seats for EC. Please check prospectus for further division of categories.
Number of merit seats available in computer science engineering ,Seats are distributed on the basis of categories. There are total 112 merit seats for CS. Please check prospectus for further division of categories.
Number of merit seats available in software engineering ,Seats are distributed on the basis of categories. There are total 83 merit seats for SE. Please check prospectus for further division of categories.
Number of merit seats available in electrical engineering ,Seats are distributed on the basis of categories. There are total 163 merit seats for EE. Please check prospectus for further division of categories.
Number of merit seats available in mechanical engineering ,Seats are distributed on the basis of categories. There are total 170 merit seats for ME. Please check prospectus for further division of categories.
Number of merit seats available in electronics engineering,Seats are distributed on the basis of categories. There are total 111 merit seats for EL. Please check prospectus for further division of categories.
Number of merit seats available in computation finance engineering,Seats are distributed on the basis of categories. There are total 70 merit seats for CF. Please check prospectus for further division of categories.
what we study in UE or urban engineering,"Urban Engineers provide physical definition of the urban habitat, by planning, designing, building/constructing, operating and maintaining the infrastructure including buildings and roads. This infrastructure, on one hand, facilitates the social and economic interactions within the urban habitat through ubiquitous transportation and communication systems. On the other hand, it also directly affects physical health and ecological balance within the urban system through the provision of drinking water, air quality and waste treatment."
what we study in SE or software engineering,"The BSE has been launched sensing the changing needs of the software industry, and the Department's objective of producing competent human resource capable of meeting the challenges of the fast paced advancements in computers and networking created the demand for integrated software i.e. large, much more complex and sophisticated systems. "
what we study in BCIT ,"Computer Professionals with skills in analysis, design and management of information systems are essential in countries like Pakistan for development of Computer based information systems appropriate to its needs. The University provides both academically rigorous courses and prepares graduates for employment. Curricula are designed so that interaction between software industry & academic institutions is established."
what we study in MM or material engineering,"Materials engineering is a discipline dealing with production, processing, characterization, selection and design of materials. This includes metals and alloys, ceramics, semiconductors, polymers, glasses, composites, biomaterials and recently developed nano-materials. Typical job functions include designing new materials, developing new/improved-manufacturing processes, selection of materials, failure analysis, characterization of structures and determination of properties."
what we study in IM or industrial manufacturing,"The main objective of these courses is to provide students with a thorough grasp of fundamentals on which modern engineering sciences are based. Theoretical instruction is supplemented with relevant experimental work in the laboratories. Comprehensive instructional program are designed to stress the rational and analytical approach to engineering problems. They prepare young professional engineers, who may choose to work either in the field or to take advanced studies and research."
what we study in AU,The Department offers programmes at the undergraduate and post graduate levels. The Automotive Engineering program provides graduates with the knowledge and skills required for engineering in all areas of the automotive sector and related industries.
what we study in CF or computation fianance,"The Bachelor of Science in Computational Finance (BSCF) programme is an applied mathematics programme with a focus on finance being a developed application area. BSCF programme consists of courses in mathematics, finance, probability/statistics, and computer applications."
what we study in CH,"The focus of undergraduate program is to teach students the basic skills of problem solving, critical analysis, participating in team work and resourcefulness. In developing the program it has been ensured that our student be at par with students from other world class Universities. "
what we study in CE,"Courses in civil engineering include foundation subjects concerning designing, building and maintaining man-made products and constructions, which are complemented with the development of design skills, computer-aided design in particular."
what we study in TE,"The machine mechanisms, fabric structures & design, process control, and weaving calculations are taught in detail."
what we study in TC,"Telecommunications engineering is a highly specialised field. It focuses on the design, construction, installation, service and support of telecommunications equipment and systems. In a world where communication-related technology is rapidly changing, telecommunications engineers are essential in keeping information networks current, viable, and up running."
what we study in PP,"Polymers & Petrochemicals are long chain molecules composed of large numbers of repeating units. Broadly classified into natural and synthetic. E.g. Cellulose polyethylene shopping bags, PET bottles, foams etc. the chemicals derived from crude oil are called Petrochemicals. Besides raw materials for polymers these chemicals are building blocks for very useful products such as lubricating oil, rubber materials, medicines, safety helmets and many more from military to daily life."
what we study in FD,"In addition to engineering principles, the food engineering degree provides an understanding of the chemical, biochemical, microbiological, and physical characteristics of foods. Concepts of food refrigeration, freezing, extrusion, drying, packaging, handling, and other food operations are studied."
what we study in AR OR Architecture,"The curriculum is structured around the following six essential streams of learning with appropriate courses in the respective years: Architectural Design, History of Civilizations, Environment, Planning and Development, Construction, Materials and Technology, Computer Applications in Design, Structures for Architects"
what we study in MY,"In general, metallurgical study encompasses the synthesis of raw materials in order to make various consumer, automobile and electronic products and even aerospace products. Students may also learn how to deduce the physical and chemical properties of various metals."
what we study in MG,"Students of management science learn how to use math and science to design systems, make decisions, and solve problems for businesses. They take courses in high-level math, statistics, computer science, and business."
what we study in IC,Industrial Chemistry is the branch of chemistry which applies physical and chemical processes towards the transformation of raw materials into products that are of benefit to humanity.
what we study in TS,"Textile degrees focus on the design of the cloth used for clothes and interiors – think materials, textures, colours, patterns."
what we study in DS,"Development Studies takes a look at development throughout the world, with a focus on developing nations. Development Studies aims to tackle some of the challenges facing the developing world and develop strategies to help alleviate poverty."
what we study in EC,"Economics studies local or global markets, human behaviour, goods and services, etc. Finance focuses on financial systems and everything related: banks, loans, investments, savings, etc. Both disciplines open the doors to well-paid and in-demand jobs."
what we study in EG,"Apart from simply understanding the intricacies of world languages, this knowledge can be applied to improving communication between people, contributing to translation activities, assisting in literacy efforts, and treating speech disorders."
what we study in AP,"While many courses are bound to overlap, applied physics focuses on application of knowledge through engineering. Courses of study tend to focus on mathematics and physical principles, including quantum theory, electricity, magnetism, thermodynamics, and mechanics."
what we study in PE or petroleum engineering,"The Department offers comprehensive four-year degree program leading to B.E Petroleum Engineering under the semester system with 139 credit hours. The program is designed on the upstream side of the petroleum industry; the curriculum has been designed in collaboration with the experts covering the core areas and including G&G, Drilling Engineering, Reservoir Engineering and Production Engineering. "
what we study in bio medical engineering,"Students who study biomedical engineering learn to pair biology with engineering to design medical devices and therapies. Students plan experiments and analyze and interpret data, and they use engineering principles to judge the results of their work."
According to the last recorded data what was the closing criteria or closing marks that were required for civil engineering according to last record?,"According to Closing Marks Statistics - Admissions 2018, closing marks for CE regular schemes were 923 and for self-finance scheme were 883."
According to the last recorded data what was the closing criteria or closing marks that were required for civil engineering construction according to last record?,"According to Closing Marks Statistics - Admissions 2018, closing marks for CE (CN) regular schemes were 900 and for self-finance scheme were 865."
According to the last recorded data what was the closing criteria or closing marks that were required for urban engineering  according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for UE regular schemes were 892 and for self-finance scheme were 760."
According to the last recorded data what was the closing criteria or closing marks that were required for petroleum engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for PE regular schemes were 903 and for self-finance scheme were 723."
According to the last recorded data what was the closing criteria or closing marks that were required for textile engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for TE regular schemes were 908 and for self-finance scheme were 779."
According to the last recorded data what was the closing criteria or closing marks that were required for industrial and manufacturing engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for IM regular schemes were 930 and for self-finance scheme were 842."
According to the last recorded data what was the closing criteria or closing marks that were required for automotive engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for AU regular schemes were 908 and for self-finance scheme were 851."
According to the last recorded data what was the closing criteria or closing marks that were required for telecommunications engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for TC regular schemes were 911 and for self-finance scheme were 765."
What was the closing criteria or closing marks that were required for chemical engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for CH regular schemes were 928 and for self-finance scheme were 814."
What was the closing criteria or closing marks that were required for materials engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for MM regular schemes were 885."
What was the closing criteria or closing marks that were required for polymer and petrochemical engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for PP regular schemes were 890."
What was the closing criteria or closing marks that were required for metullurgical engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for MY regular schemes were 873 and for self-finance scheme were 751."
What was the closing criteria or closing marks that were required for computer science  according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for CT regular schemes were 922 and for self-finance scheme were 877."
What was the closing criteria or closing marks that were required for architecture  according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for AR regular schemes were 898 and for self-finance scheme were 841."
What was the closing criteria or closing marks that were required for bio-medical engineering according to last record? ,"According to Closing Marks Statistics - Admissions 2018, closing marks for BM regular schemes were 873."
